track_name,artists,year,region,country_code
Church of the Poison Mind,Culture Club,1984,US,US
Think of Laura,Christopher Cross,1984,US,US
Time Will Reveal,DeBarge,1984,US,US
Wrapped Around Your Finger,The Police,1984,US,US
Pink Houses,John Cougar Mellencamp,1984,US,US
Round and Round,Ratt,1984,US,US
Head over Heels,The Go-Go's,1984,US,US
The Longest Time,Billy Joel,1984,US,US
Tonight,Kool & the Gang,1984,US,US
Got a Hold on Me,Christine McVie,1984,US,US
Dancing in the Sheets,Shalamar,1984,US,US
Undercover of the Night,The Rolling Stones,1984,US,US
On the Dark Side,John Cafferty and the Beaver Brown Band,1984,US,US
New Moon on Monday,Duran Duran,1984,US,US
Major Tom (Coming Home),Peter Schilling,1984,US,US
Magic,The Cars,1984,US,US
When You Close Your Eyes,Night Ranger,1984,US,US
Rock Me Tonite,Billy Squier,1984,US,US
Yah Mo B There,James IngramandMichael McDonald,1984,US,US
No.,Title,1985,US,US
Careless Whisper,George Michael,1985,US,US
Like a Virgin,Madonna,1985,US,US
Wake Me Up Before You Go-Go,Wham!,1985,US,US
I Want to Know What Love Is,Foreigner,1985,US,US
I Feel for You,Chaka Khan,1985,US,US
Out of Touch,Daryl Hall & John Oates,1985,US,US
Everybody Wants to Rule the World,Tears for Fears,1985,US,US
Money for Nothing,Dire Straits,1985,US,US
Crazy for You,Madonna,1985,US,US
Take On Me,a-ha,1985,US,US
Everytime You Go Away,Paul Young,1985,US,US
Easy Lover,Philip BaileyandPhil Collins,1985,US,US
Can't Fight This Feeling,REO Speedwagon,1985,US,US
We Built This City,Starship,1985,US,US
The Power of Love,Huey Lewis and the News,1985,US,US
Don't You (Forget About Me),Simple Minds,1985,US,US
Cherish,Kool & the Gang,1985,US,US
St. Elmo's Fire (Man in Motion),John Parr,1985,US,US
The Heat Is On,Glenn Frey,1985,US,US
We Are the World,USA for Africa,1985,US,US
Shout,Tears for Fears,1985,US,US
Part-Time Lover,Stevie Wonder,1985,US,US
Saving All My Love for You,Whitney Houston,1985,US,US
Heaven,Bryan Adams,1985,US,US
Everything She Wants,Wham!,1985,US,US
Cool It Now,New Edition,1985,US,US
Miami Vice Theme,Jan Hammer,1985,US,US
Loverboy,Billy Ocean,1985,US,US
Lovergirl,Teena Marie,1985,US,US
You Belong to the City,Glenn Frey,1985,US,US
Oh Sheila,Ready for the World,1985,US,US
Rhythm of the Night,DeBarge,1985,US,US
One More Night,Phil Collins,1985,US,US
Sea of Love,The Honeydrippers,1985,US,US
A View to a Kill,Duran Duran,1985,US,US
The Wild Boys,Duran Duran,1985,US,US
You're the Inspiration,Chicago,1985,US,US
Neutron Dance,The Pointer Sisters,1985,US,US
We Belong,Pat Benatar,1985,US,US
Nightshift,Commodores,1985,US,US
Things Can Only Get Better,Howard Jones,1985,US,US
All I Need,Jack Wagner,1985,US,US
Freeway of Love,Aretha Franklin,1985,US,US
Never Surrender,Corey Hart,1985,US,US
Sussudio,Phil Collins,1985,US,US
Strut,Sheena Easton,1985,US,US
You Give Good Love,Whitney Houston,1985,US,US
The Search Is Over,Survivor,1985,US,US
Missing You,Diana Ross,1985,US,US
Separate Lives,Phil CollinsandMarilyn Martin,1985,US,US
Raspberry Beret,Prince&the Revolution,1985,US,US
Suddenly,Billy Ocean,1985,US,US
The Boys of Summer,Don Henley,1985,US,US
One Night in Bangkok,Murray Head,1985,US,US
If You Love Somebody Set Them Free,Sting,1985,US,US
Obsession,Animotion,1985,US,US
We Don't Need Another Hero (Thunderdome),Tina Turner,1985,US,US
Material Girl,Madonna,1985,US,US
Better Be Good to Me,Tina Turner,1985,US,US
Head over Heels,Tears for Fears,1985,US,US
Axel F,Harold Faltermeyer,1985,US,US
Smooth Operator,Sade,1985,US,US
In My House,Mary Jane Girls,1985,US,US
Don't Lose My Number,Phil Collins,1985,US,US
All Through the Night,Cyndi Lauper,1985,US,US
Run to You,Bryan Adams,1985,US,US
Glory Days,Bruce Springsteen,1985,US,US
Voices Carry,'Til Tuesday,1985,US,US
Misled,Kool & the Gang,1985,US,US
Would I Lie to You?,Eurythmics,1985,US,US
Be Near Me,ABC,1985,US,US
No More Lonely Nights,Paul McCartney,1985,US,US
I Can't Hold Back,Survivor,1985,US,US
Summer of '69,Bryan Adams,1985,US,US
Walking on Sunshine,Katrina and the Waves,1985,US,US
Freedom,Wham!,1985,US,US
Too Late for Goodbyes,Julian Lennon,1985,US,US
Some Like It Hot,The Power Station,1985,US,US
Solid,Ashford & Simpson,1985,US,US
Angel,Madonna,1985,US,US
I'm on Fire,Bruce Springsteen,1985,US,US
Method of Modern Love,Daryl Hall & John Oates,1985,US,US
